startSeconds,endSeconds,targetChildProminence
72.28,73.47,2
91.51,92.56,2
200.43,201.08,2
365.95,367.01,2
371.88,372.48,2
382.05,382.65,2
386.68,387.28,2
392.58,393.77,2
397.91,398.9,2
427.06,428.99,2
475.21,476.12,2
586.02,586.62,2
710.34,710.95,2
879.37,879.98,2
882.21,882.87,2
970.7,971.57,2
1093.93,1094.53,2
1327.61,1328.66,5
1358.95,1359.8,2
1615.62,1616.22,2
1637.15,1637.75,2
1675.97,1676.74,2
1954.64,1955.32,3
1957.48,1958.55,2
1960.37,1961.62,2
1985.15,1985.9,2
1985.9,1986.72,2
2107.47,2108.95,2
2209.73,2210.41,2
2240.93,2241.54,5
2271.0,2271.69,5
2427.24,2427.84,3
2444.1,2444.72,4
2448.51,2449.2,3
2452.37,2453.6,3
2454.63,2455.23,3
2485.45,2487.37,3
2525.67,2526.37,3
2545.06,2546.29,3
2722.33,2722.93,2
2732.07,2732.92,2
2766.82,2767.49,2
2781.65,2782.25,4
2798.55,2799.6,2
2818.45,2819.33,2
2827.41,2828.01,3
2843.24,2843.84,5
2846.25,2848.72,5
2849.63,2850.23,5
2851.03,2852.56,5
2852.56,2853.64,5
2853.64,2855.11,5
2855.11,2856.93,5
3048.8,3049.46,5
3071.2,3071.8,3
3082.04,3083.23,5
3117.26,3118.57,5
3123.67,3124.29,5
3129.01,3129.61,5
3131.69,3132.29,2
3135.77,3136.46,2
3148.93,3150.14,2
3155.56,3156.76,2
3156.76,3158.47,2
3158.47,3159.73,2
3162.64,3163.24,2
3165.79,3167.05,2
3170.71,3171.89,2
3180.25,3180.95,2
3182.11,3183.12,2
3184.78,3185.43,3
3186.43,3187.53,3
3187.53,3188.86,2
3199.24,3200.0,3
3202.29,3202.95,2
3208.9,3211.41,2
3218.08,3219.4,3
3220.29,3221.29,3
3225.61,3226.87,2
3229.42,3230.46,5
3231.63,3233.35,5
3234.18,3236.29,5
3237.11,3238.11,5
3241.1,3242.13,5
3247.15,3248.8,5
3249.84,3250.73,5
3256.04,3257.39,5
3263.31,3266.72,5
3280.96,3281.84,3
3302.38,3304.29,5
3309.93,3310.53,3
3315.51,3316.66,2
3336.12,3337.75,2
3366.81,3368.26,2
3369.22,3369.86,2
3375.84,3377.76,2
3382.75,3384.88,2
3389.05,3389.82,3
3394.42,3395.05,3
3397.02,3398.02,3
3398.02,3399.14,3
3399.14,3399.95,3
3499.74,3500.54,3
3501.45,3502.1,5
3502.1,3502.92,5
3505.05,3506.68,5
3508.51,3509.79,5
3512.31,3512.91,5
3514.84,3515.47,5
3574.57,3575.17,2
3589.2,3589.95,3
3656.12,3656.94,3
3674.34,3674.94,2
3702.66,3704.11,2
3712.04,3712.64,2
3744.51,3745.11,2
3757.28,3758.14,2
3911.95,3912.59,2
3940.26,3940.86,2
3957.13,3957.73,2
3982.35,3982.97,2
4101.88,4102.48,2
4155.25,4157.04,5
4205.34,4206.34,2
4215.11,4215.71,2
4243.27,4244.12,2
4256.3,4256.9,2
4257.73,4258.66,2
4260.57,4261.6,2
4341.97,4342.6,2
4378.12,4378.73,2
4384.67,4385.36,2
4386.16,4386.86,2
4428.09,4428.75,2
4430.26,4430.86,2
4432.05,4432.89,5
4444.26,4444.96,5
4446.41,4447.17,5
4451.11,4452.04,5
4453.23,4453.85,5
4454.75,4455.35,5
4458.19,4458.81,5
4460.6,4461.22,5
4462.6,4463.2,5
4479.79,4480.56,5
4484.87,4485.47,5
4491.72,4492.32,5
4590.53,4591.13,5
4614.45,4615.07,5
4707.49,4708.87,5
4782.8,4783.41,2
5023.06,5023.66,2
5026.35,5026.95,2
5068.21,5069.08,2
5107.1,5107.71,2
5108.8,5109.94,2
5111.75,5112.8,2
5246.6,5247.34,2
5274.89,5275.58,2
5291.61,5292.28,2
5305.0,5305.71,2
5421.03,5421.64,2
5683.34,5683.95,2
5701.21,5701.92,2
5733.4,5735.07,2
5735.07,5735.67,5
5735.67,5736.74,5
5737.54,5738.57,5
5738.57,5739.17,5
5740.02,5741.03,5
5749.63,5750.23,5
5756.07,5757.7,5
5767.1,5768.27,5
5798.08,5800.67,5
5800.67,5801.6,5
5801.6,5804.83,5
5807.64,5808.24,5
5812.81,5813.54,5
5815.43,5816.44,2
5840.32,5841.92,5
5841.92,5842.53,2
5844.73,5845.63,2
5847.63,5848.38,5
5855.11,5855.71,5
5855.71,5856.87,5
5907.78,5908.82,5
5908.82,5909.59,5
5910.39,5910.99,5
5911.79,5912.67,5
5913.47,5914.15,5
5919.33,5920.51,5
5920.51,5921.79,2
5922.59,5923.91,2
5924.85,5925.57,5
5926.53,5927.21,5
5967.77,5968.43,5
5973.68,5974.28,5
5974.28,5975.8,5
5975.8,5976.57,5
5992.42,5993.02,5
5995.4,5996.05,5
6000.12,6001.15,5
6006.66,6007.66,5
6013.95,6014.56,5
6036.83,6038.57,5
6069.23,6070.21,5
6081.36,6081.96,5
6083.35,6084.17,5
6085.36,6086.28,5
6137.06,6137.69,5
6142.3,6143.57,2
6159.3,6160.04,5
6172.85,6173.45,5
6272.19,6273.06,3
6274.05,6274.74,3
6275.57,6276.17,3
6285.73,6286.34,2
6291.8,6292.4,2
6295.62,6296.69,2
6296.69,6297.84,5
6305.0,6306.1,5
6307.88,6308.93,5
6309.97,6310.68,5
6322.06,6322.84,3
6325.61,6326.21,5
6329.28,6330.82,3
6331.8,6332.41,3
6353.85,6355.3,5
6356.47,6357.07,5
6357.07,6358.07,3
6358.07,6359.32,3
6364.13,6364.79,3
6376.64,6377.24,3
6377.24,6379.46,3
6382.65,6383.73,3
6384.78,6385.95,3
6394.41,6395.88,3
6395.88,6396.49,2
6397.3,6399.75,3
6399.75,6400.4,5
6400.4,6401.4,5
6401.4,6402.17,5
6402.17,6403.43,3
6404.54,6405.8,2
6407.9,6408.75,3
6411.46,6412.46,3
6412.46,6413.51,3
6413.51,6414.51,2
6414.51,6415.84,3
6416.64,6418.36,3
6418.36,6419.42,3
6420.42,6421.63,5
6428.35,6429.35,5
6429.35,6430.51,5
6432.98,6433.62,2
6435.05,6436.81,5
6438.01,6438.67,2
6446.18,6447.27,5
6448.18,6449.37,5
6449.37,6452.04,5
6453.34,6455.26,2
6456.31,6457.47,2
6460.73,6461.34,2
6463.29,6464.07,2
6465.26,6466.32,2
6468.15,6469.22,2
6469.22,6470.22,2
6470.22,6471.43,2
6475.96,6478.7,2
6604.29,6604.89,2
6643.52,6644.16,2
6683.79,6684.87,3
6696.27,6696.87,2
6715.6,6716.2,2
6737.66,6738.26,2
6869.72,6870.34,2
6877.37,6878.1,2
8386.9,8387.7,2
8387.7,8388.74,2
13520.73,13521.33,2
13942.74,13943.34,2
14154.81,14155.69,2
14502.25,14506.07,2
15213.27,15214.72,2
15219.0,15223.94,2
15232.22,15236.07,2
15348.41,15349.35,2
15353.46,15354.06,2
15357.18,15357.87,2
15365.46,15366.06,2
15393.32,15399.98,2
15400.98,15402.0,2
15403.09,15403.69,2
15469.5,15470.31,2
15787.37,15788.81,2
15812.24,15812.85,2
15813.72,15814.36,2
15816.43,15817.97,2
15829.91,15830.54,2
15835.62,15836.41,2
15837.69,15838.32,2
15839.4,15840.0,2
16043.76,16044.36,2
16056.4,16057.0,2
16063.56,16065.06,2
16134.22,16134.82,2
16137.49,16138.09,2
16142.64,16143.46,2
16148.23,16148.83,2
16158.52,16160.18,2
16176.12,16176.72,2
16178.47,16179.17,2
16199.57,16200.17,2
16258.13,16258.73,2
16264.17,16264.82,4
16266.71,16267.31,3
16269.0,16269.6,4
16311.64,16312.24,4
16418.78,16419.38,4
16479.92,16481.52,4
16533.26,16533.86,2
16586.68,16587.48,2
16657.68,16658.31,2
16680.45,16681.05,5
16682.98,16683.6,5
16740.35,16740.96,5
16778.17,16780.26,5
16781.86,16782.46,2
16786.8,16788.35,2
16791.01,16791.61,2
16809.45,16810.05,2
16810.85,16811.94,2
16825.2,16825.8,2
16849.11,16849.92,2
16849.92,16850.68,2
16859.99,16860.78,2
