segtype,startsec,endsec
CXN,0.00,1.09
NOF,1.09,3.01
TVN,3.01,4.01
NOF,4.01,6.54
OLN,6.54,7.34
NOF,7.34,8.22
SIL,8.22,9.02
TVF,9.02,11.42
FAN,11.42,12.58
OLN,12.58,13.59
SIL,13.59,14.39
TVN,14.39,14.99
SIL,14.99,17.27
NOF,17.27,17.90
TVN,17.90,26.76
CXN,26.76,28.20
SIL,28.20,39.85
TVN,39.85,41.19
TVN,41.19,45.24
CXN,45.24,46.11
TVF,46.11,47.11
CXN,47.11,47.97
TVN,47.97,50.56
NOF,50.56,51.36
CXN,51.36,52.47
OLN,52.47,53.44
CXN,53.44,54.05
TVN,54.05,55.68
NOF,55.68,56.53
TVN,56.53,57.81
CXN,57.81,59.97
TVF,59.97,60.88
SIL,60.88,61.88
TVF,61.88,62.48
SIL,62.48,65.71
CXN,65.71,66.94
CXN,66.94,67.81
TVN,67.81,68.81
TVF,68.81,70.83
TVN,70.83,72.28
CHNNSP,72.28,73.47
TVN,73.47,82.57
CXN,82.57,84.47
SIL,84.47,91.51
CHNNSP,91.51,92.56
CXN,92.56,93.93
TVN,93.93,94.93
OLF,94.93,95.76
TVN,95.76,96.79
CXF,96.79,98.20
SIL,98.20,99.06
SIL,99.06,112.40
SIL,112.40,119.05
CXN,119.05,121.41
SIL,121.41,123.70
SIL,123.70,138.05
NOF,138.05,138.96
SIL,138.96,142.70
SIL,142.70,148.25
SIL,148.25,155.01
SIL,155.01,155.95
SIL,155.95,157.02
SIL,157.02,159.82
SIL,159.82,161.20
SIL,161.20,162.33
SIL,162.33,163.70
SIL,163.70,169.55
TVN,169.55,176.30
TVN,176.30,177.30
SIL,177.30,178.46
TVN,178.46,179.81
TVN,179.81,182.12
TVN,182.12,183.29
TVF,183.29,184.29
TVN,184.29,185.10
SIL,185.10,186.30
NOF,186.30,191.59
MAN,191.59,192.68
CXN,192.68,193.68
TVF,193.68,200.43
CHNSP,200.43,201.08
NON,201.08,203.65
SIL,203.65,206.88
SIL,206.88,207.70
SIL,207.70,208.70
SIL,208.70,214.85
SIL,214.85,216.39
NOF,216.39,218.46
TVN,218.46,219.68
NOF,219.68,220.30
TVN,220.30,221.51
SIL,221.51,222.77
TVN,222.77,223.73
TVN,223.73,226.15
NOF,226.15,227.43
TVN,227.43,228.53
TVN,228.53,229.65
TVN,229.65,230.65
FAN,230.65,231.30
SIL,231.30,232.38
SIL,232.38,233.89
TVF,233.89,234.49
SIL,234.49,236.37
TVN,236.37,237.37
SIL,237.37,238.22
TVF,238.22,239.02
TVN,239.02,240.94
TVN,240.94,242.09
TVN,242.09,245.13
TVN,245.13,246.14
TVN,246.14,249.73
TVN,249.73,250.73
TVN,250.73,252.30
SIL,252.30,260.65
TVN,260.65,262.71
FAN,262.71,265.68
TVF,265.68,267.28
SIL,267.28,268.08
TVN,268.08,273.00
SIL,273.00,278.45
TVN,278.45,286.63
CXN,286.63,287.78
TVN,287.78,288.82
TVN,288.82,308.01
CHF,308.01,308.75
CXN,308.75,309.55
SIL,309.55,315.20
SIL,315.20,325.15
TVN,325.15,329.24
TVN,329.24,330.63
TVN,330.63,333.02
CXN,333.02,334.21
TVN,334.21,335.66
TVN,335.66,344.90
SIL,344.90,352.75
TVN,352.75,353.75
TVN,353.75,354.35
SIL,354.35,359.10
SIL,359.10,365.95
CHNNSP,365.95,367.01
SIL,367.01,371.88
CHNNSP,371.88,372.48
SIL,372.48,373.28
FAN,373.28,373.88
SIL,373.88,375.10
FAN,375.10,375.70
SIL,375.70,376.80
CXN,376.80,378.08
TVN,378.08,382.05
CHNNSP,382.05,382.65
FAN,382.65,383.65
TVN,383.65,386.68
CHNNSP,386.68,387.28
TVN,387.28,388.54
TVN,388.54,391.64
TVF,391.64,392.58
CHNSP,392.58,393.77
FAN,393.77,394.57
TVN,394.57,396.63
FAN,396.63,397.91
CHNSP,397.91,398.90
SIL,398.90,400.03
TVN,400.03,400.63
TVN,400.63,404.52
TVN,404.52,405.12
SIL,405.12,407.82
FAN,407.82,408.95
TVN,408.95,409.95
FAN,409.95,411.34
TVN,411.34,412.34
FAN,412.34,413.34
TVN,413.34,415.22
FAN,415.22,415.82
TVN,415.82,422.07
TVN,422.07,423.85
SIL,423.85,426.12
TVF,426.12,427.06
CHNNSP,427.06,428.99
OLN,428.99,430.15
TVN,430.15,434.19
FAF,434.19,435.03
SIL,435.03,436.03
SIL,436.03,436.88
SIL,436.88,438.09
MAN,438.09,438.69
TVN,438.69,439.69
MAN,439.69,440.74
