startSeconds,endSeconds,targetChildProminence
36.8,37.89,2
38.89,39.77,2
66.34,66.95,3
67.75,68.35,2
88.5,89.3,2
90.1,90.78,2
92.62,93.82,1
99.36,99.96,3
118.56,119.16,2
146.51,147.82,2
152.71,153.31,2
155.16,155.85,2
281.23,282.01,3
318.46,319.06,5
398.86,399.48,2
401.52,402.12,5
412.99,414.26,2
449.2,450.14,3
457.62,459.24,2
466.21,467.0,1
469.01,472.3,1
492.16,493.24,2
495.86,497.18,2
500.33,503.68,2
514.22,514.82,5
530.98,531.98,5
537.91,539.75,1
540.9,541.54,1
542.4,543.0,2
546.46,547.09,2
558.24,559.22,2
574.27,574.92,2
586.95,589.0,2
796.5,798.51,2
799.35,803.3,1
816.93,821.64,2
822.45,823.87,2
825.85,826.88,2
833.57,835.21,2
836.01,844.14,2
845.98,846.61,1
847.55,849.3,2
853.21,856.19,2
857.0,859.2,2
860.12,861.71,2
862.67,865.15,3
888.26,888.93,2
904.51,905.19,2
908.38,910.66,2
914.72,915.72,3
916.52,922.97,1
923.77,925.41,2
926.21,927.82,2
928.62,930.44,2
931.55,933.58,1
934.79,938.3,2
943.97,947.4,2
969.2,972.03,2
974.18,976.78,2
982.9,985.52,2
986.81,987.57,2
991.39,995.39,2
1000.22,1001.59,2
1009.26,1009.88,4
1016.21,1016.84,2
1018.83,1019.8,4
1020.72,1021.32,3
1022.26,1022.86,2
1079.67,1080.44,1
1088.33,1090.88,2
1093.75,1094.9,2
1104.36,1107.47,2
1108.27,1110.38,2
1111.4,1112.24,2
1118.54,1119.14,3
1120.51,1125.23,2
1125.23,1126.32,2
1126.32,1131.9,2
1136.37,1137.0,3
1137.8,1138.4,2
1139.36,1139.97,3
1140.97,1141.57,2
1142.38,1143.69,3
1144.99,1146.33,2
1146.33,1151.83,2
1153.19,1155.63,2
1158.02,1159.15,2
1160.36,1166.79,3
1168.1,1169.85,3
1174.83,1177.81,2
1178.66,1179.26,3
1182.58,1183.18,2
1186.33,1186.93,2
1189.6,1191.11,3
1191.91,1192.51,2
1193.33,1194.96,2
1199.48,1202.68,2
1203.48,1208.29,2
1208.29,1209.29,2
1210.42,1211.02,2
1211.02,1212.14,2
1212.14,1212.74,1
1213.83,1214.43,3
