startSeconds,endSeconds,targetChildProminence
24.38,25.94,1
29.53,30.13,1
42.74,43.34,2
44.29,44.9,2
60.6,61.2,2
62.0,62.77,1
66.92,67.52,1
69.85,70.45,1
92.72,93.48,2
97.25,97.85,1
99.91,101.25,2
107.03,107.83,2
110.01,110.62,5
116.87,117.47,3
118.98,119.9,2
125.78,126.4,1
131.84,132.59,1
136.9,137.55,1
138.35,138.99,1
140.07,140.75,1
145.43,146.05,2
146.98,147.78,2
151.64,153.54,1
154.78,155.42,1
156.29,157.53,3
157.53,159.17,2
161.11,162.2,2
163.88,164.58,1
166.18,167.01,1
168.87,169.67,1
174.27,175.75,2
176.75,177.46,2
177.46,178.47,2
181.95,183.47,2
186.08,186.95,2
188.75,189.35,2
194.32,194.96,2
195.86,196.66,2
197.46,198.27,2
200.53,202.6,2
204.58,205.18,2
206.18,206.78,2
212.53,213.13,2
213.93,214.73,2
219.76,220.39,2
221.59,222.25,2
225.55,226.66,2
234.4,235.03,2
287.37,287.97,2
292.19,293.21,3
297.82,298.42,5
405.93,408.14,4
408.94,409.54,3
410.34,411.52,3
417.6,420.44,2
432.49,435.54,2
501.21,502.47,5
503.27,507.06,5
512.52,515.6,5
515.6,516.2,5
516.2,518.94,5
518.94,520.85,4
525.94,526.54,5
526.54,527.66,5
528.29,547.95,5
548.55,556.76,5
556.76,557.96,5
562.81,563.42,4
565.89,566.63,4
567.99,568.77,3
568.77,571.87,4
571.87,572.67,4
572.67,573.89,4
573.89,574.51,2
574.51,575.73,2
575.73,576.68,3
576.68,578.23,3
578.23,578.83,4
582.14,582.75,4
582.75,583.75,4
583.75,584.37,3
584.37,585.94,3
585.94,586.54,3
586.54,587.6,4
587.6,588.82,4
588.82,591.55,4
591.55,593.0,3
593.8,594.47,3
594.47,596.06,4
596.06,597.44,3
597.44,599.23,3
599.23,602.47,3
603.27,604.65,2
605.45,607.13,2
607.99,609.26,2
610.06,611.12,2
612.44,613.25,2
614.05,614.65,2
615.7,616.71,3
727.14,727.75,3
773.1,773.71,3
931.18,931.78,3
1022.71,1023.64,5
1093.95,1094.65,4
1121.57,1122.23,5
1148.77,1149.51,5
1162.01,1162.61,2
1163.41,1164.12,2
1165.07,1165.67,2
1194.09,1194.77,2
1200.29,1200.89,2
1201.7,1202.3,3
1209.32,1210.16,2
1211.13,1212.39,2
1213.97,1214.97,5
1219.56,1221.56,5
1224.53,1225.38,3
1229.03,1230.89,4
1239.59,1240.19,2
1248.68,1249.56,5
1250.59,1251.38,5
1253.9,1254.97,3
1256.27,1257.49,5
1259.2,1260.13,5
1261.16,1261.77,3
1262.77,1263.41,2
1265.74,1266.79,5
1266.79,1267.83,5
1267.83,1268.44,5
1276.47,1277.48,5
1278.97,1280.06,5
1280.06,1280.79,5
1280.79,1282.11,4
1282.11,1282.83,5
1324.37,1324.97,5
1336.63,1337.23,5
1522.7,1525.03,3
1525.84,1526.86,2
1535.96,1537.85,5
1551.13,1551.73,4
1554.45,1555.05,3
1557.09,1557.69,2
1560.53,1562.83,2
1563.63,1564.9,4
1568.54,1569.33,2
1571.94,1572.54,2
1575.46,1576.09,2
1579.19,1579.79,2
1579.79,1580.79,2
1596.12,1596.78,3
1612.45,1613.51,2
1630.8,1631.42,2
1632.24,1632.9,2
1757.09,1758.15,2
1759.6,1760.2,2
1760.2,1761.08,2
1761.08,1761.98,2
1764.44,1765.87,2
1815.35,1815.96,4
1826.16,1826.77,2
1831.73,1832.34,2
1884.61,1885.66,2
1887.42,1888.1,2
1890.74,1891.93,2
1892.73,1893.73,4
1893.73,1896.02,3
1896.02,1897.02,5
1897.02,1899.91,4
1899.91,1900.95,4
1900.95,1901.55,5
1903.48,1905.55,5
1905.55,1906.25,5
1906.25,1910.08,5
1910.68,1912.38,5
1912.38,1913.14,4
1915.05,1915.72,5
1924.64,1925.64,5
1925.64,1926.26,4
1926.26,1933.56,5
1934.16,1936.0,5
1936.99,1938.97,5
1938.97,1939.68,5
1939.68,1941.7,5
1941.7,1942.3,5
1942.3,1951.56,5
1951.56,1952.44,5
1952.44,1964.45,5
1966.17,1967.17,4
1967.17,1968.6,5
1975.15,1976.5,5
1985.65,1996.5,5
2002.55,2014.98,5
2016.07,2027.7,5
2040.95,2043.9,5
2072.55,2079.7,5
2136.75,2138.0,5
2138.0,2138.6,5
2138.6,2139.85,5
2139.85,2140.55,4
2140.55,2145.96,5
2145.96,2147.0,5
2148.0,2151.26,5
2151.26,2151.99,5
2151.99,2153.9,5
2153.9,2154.51,5
2154.51,2155.71,5
2155.71,2156.46,4
2156.46,2161.16,4
2161.16,2161.77,5
2161.77,2168.03,5
2172.51,2176.2,5
2190.32,2200.2,5
2235.85,2255.59,5
2255.59,2256.19,5
2264.21,2264.86,5
2323.19,2332.83,5
2342.83,2343.48,5
2345.29,2346.7,5
2347.82,2349.47,5
2352.11,2353.47,5
2360.72,2361.37,4
2361.37,2362.37,5
2367.76,2368.36,5
2369.29,2370.04,5
2370.04,2371.51,5
2372.18,2377.91,5
2378.71,2380.09,5
2380.09,2383.5,5
2383.5,2384.1,4
2391.14,2392.75,5
2393.35,2396.51,5
2396.51,2397.87,5
2397.87,2401.05,5
2401.66,2405.15,5
2405.95,2414.6,5
2425.24,2429.13,5
2429.93,2431.8,5
2431.8,2432.4,5
2432.4,2433.42,5
2441.38,2442.84,5
2445.84,2461.39,5
2461.39,2461.99,5
