startSeconds,endSeconds,isTargetChild
24.38,25.94,True
29.53,30.13,True
42.74,43.34,True
44.29,44.9,True
60.6,61.2,False
62.0,62.77,False
66.92,67.52,True
69.85,70.45,True
92.72,93.48,True
97.25,97.85,True
99.91,101.25,False
107.03,107.83,True
110.01,110.62,True
116.87,117.47,False
118.98,119.9,True
125.78,126.4,True
131.84,132.59,True
136.9,137.55,True
138.35,138.99,True
140.07,140.75,True
145.43,146.05,True
146.98,147.78,True
151.64,153.54,True
154.78,155.42,True
156.29,157.53,False
157.53,159.17,False
161.11,162.2,True
163.88,164.58,True
166.18,167.01,False
168.87,169.67,True
174.27,175.75,False
176.75,177.46,False
177.46,178.47,True
181.95,183.47,False
186.08,186.95,False
188.75,189.35,False
194.32,194.96,False
195.86,196.66,False
197.46,198.27,False
200.53,202.6,False
204.58,205.18,False
206.18,206.78,True
212.53,213.13,True
213.93,214.73,False
219.76,220.39,False
221.59,222.25,False
225.55,226.66,False
234.4,235.03,True
287.37,287.97,False
292.19,293.21,False
297.82,298.42,False
405.93,408.14,False
408.94,409.54,False
410.34,411.52,False
417.6,420.44,False
432.49,435.54,False
501.21,502.47,False
503.27,507.06,False
512.52,515.6,False
515.6,516.2,False
516.2,518.94,False
518.94,520.85,False
525.94,526.54,False
526.54,527.66,False
528.29,547.95,False
548.55,556.76,False
556.76,557.96,False
562.81,563.42,False
565.89,566.63,False
567.99,568.77,False
568.77,571.87,False
571.87,572.67,False
572.67,573.89,False
573.89,574.51,False
574.51,575.73,False
575.73,576.68,False
576.68,578.23,False
578.23,578.83,False
582.14,582.75,False
582.75,583.75,False
583.75,584.37,False
584.37,585.94,False
585.94,586.54,False
586.54,587.6,False
587.6,588.82,False
588.82,591.55,False
591.55,593.0,False
593.8,594.47,False
594.47,596.06,False
596.06,597.44,False
597.44,599.23,False
599.23,602.47,False
603.27,604.65,False
605.45,607.13,True
607.99,609.26,True
610.06,611.12,True
612.44,613.25,True
614.05,614.65,True
615.7,616.71,False
727.14,727.75,False
773.1,773.71,True
931.18,931.78,False
1022.71,1023.64,True
1093.95,1094.65,False
1121.57,1122.23,False
1148.77,1149.51,False
1162.01,1162.61,False
1163.41,1164.12,False
1165.07,1165.67,False
1194.09,1194.77,False
1200.29,1200.89,False
1201.7,1202.3,False
1209.32,1210.16,False
1211.13,1212.39,False
1213.97,1214.97,False
1219.56,1221.56,False
1224.53,1225.38,False
1229.03,1230.89,False
