startSeconds,endSeconds,targetChildProminence
37.35,37.95,1
39.25,39.91,1
77.74,78.34,1
80.01,80.64,1
83.77,84.38,1
87.07,87.98,1
94.82,96.03,1
96.83,98.84,1
99.96,101.02,1
101.87,104.18,1
108.17,108.77,1
109.57,113.07,1
124.3,125.9,1
126.89,128.02,1
129.63,131.2,1
132.03,132.72,1
135.95,136.73,1
137.53,140.88,1
142.89,143.49,1
144.29,144.89,1
145.69,146.29,1
167.07,167.67,1
168.53,169.39,1
171.19,171.79,1
172.59,177.58,1
179.62,180.22,1
192.3,194.91,1
251.0,252.0,1
259.87,260.61,1
262.98,264.26,1
268.27,268.87,1
270.77,271.55,1
275.59,276.35,1
277.61,278.21,1
294.4,295.11,1
296.22,297.31,1
308.01,309.53,1
332.93,333.54,1
338.52,339.15,1
345.59,346.19,1
349.34,351.37,1
362.16,362.76,1
366.08,366.71,1
368.63,371.08,1
377.49,378.1,1
384.48,385.34,1
386.14,386.86,1
386.86,387.86,1
390.5,391.15,1
401.84,402.51,1
409.39,412.86,1
413.66,414.43,1
415.27,416.17,1
421.85,424.54,1
427.3,428.28,1
454.77,455.37,1
457.46,460.05,1
461.24,461.84,1
462.64,464.37,1
465.18,466.39,1
467.71,469.36,1
476.41,479.18,1
485.22,485.94,1
488.28,489.91,1
491.05,491.84,1
492.64,493.5,1
497.28,498.36,1
500.08,501.21,1
502.01,502.61,1
503.87,504.47,1
505.43,509.53,1
510.72,511.39,1
512.21,515.67,1
516.89,517.74,1
522.97,523.69,1
526.35,528.73,1
530.03,530.79,1
531.83,532.43,1
534.19,534.81,1
535.61,536.58,1
539.98,543.75,1
544.7,547.57,1
549.54,550.14,1
555.39,556.04,1
561.14,561.74,1
562.54,564.89,1
565.69,566.41,1
568.42,569.02,1
571.75,572.9,1
573.7,576.65,1
578.68,580.36,1
581.16,585.07,1
587.35,591.19,1
592.06,592.88,1
595.72,597.69,1
598.49,601.88,1
602.68,603.28,1
604.9,606.79,1
608.19,608.95,1
610.96,613.66,1
614.66,615.58,1
616.39,617.0,1
623.46,624.06,1
624.86,628.08,1
634.92,635.89,1
636.69,637.58,1
639.42,642.65,1
643.45,646.0,1
647.34,649.44,1
650.24,651.06,1
652.31,654.54,1
655.48,657.69,1
658.67,659.27,1
663.71,667.43,1
668.28,670.69,1
673.17,676.63,1
684.45,685.6,1
686.4,687.14,1
689.66,691.95,1
695.32,697.68,1
699.09,700.14,1
701.13,706.08,1
706.89,709.28,1
714.78,718.05,1
718.85,723.67,1
725.74,727.05,1
728.2,729.53,1
729.53,730.33,1
730.33,730.93,1
731.73,732.34,1
738.27,739.03,1
760.64,764.22,1
1001.83,1002.6,1
