startSeconds,endSeconds,targetChildProminence
36.0,37.29,2
137.58,138.31,2
143.77,145.16,2
150.8,153.16,2
160.08,160.77,2
166.79,169.11,2
171.92,172.52,2
189.13,189.73,2
193.9,194.66,2
195.47,196.52,2
198.0,198.8,2
198.8,199.98,2
202.66,203.26,2
207.32,208.75,2
232.1,232.91,2
232.91,233.71,2
330.99,331.67,2
332.83,334.22,3
338.68,339.45,2
342.11,343.05,2
343.05,343.83,2
351.1,351.9,2
351.9,353.0,2
364.32,368.92,2
370.01,372.31,1
372.31,373.2,1
375.63,376.61,1
377.62,378.39,1
380.0,380.9,2
382.7,384.07,1
385.27,386.32,1
392.98,394.55,1
403.43,405.28,1
423.41,424.72,2
428.18,430.77,2
438.33,439.53,2
455.67,457.54,2
467.48,468.1,2
472.82,473.57,2
476.38,477.43,2
477.43,478.48,2
481.67,483.39,2
486.8,488.39,2
489.39,489.99,2
491.82,492.57,2
519.72,520.92,2
523.35,524.09,2
524.09,524.89,2
524.89,525.6,2
528.22,528.93,3
541.95,542.56,2
544.94,546.83,1
547.9,548.5,1
549.5,551.98,2
557.78,558.76,2
559.62,560.39,1
562.39,564.39,1
572.7,573.49,2
575.29,577.34,1
578.53,580.62,2
581.55,582.61,2
587.68,588.76,2
590.25,592.22,2
605.48,607.52,2
728.06,729.1,2
752.44,753.28,2
754.42,755.54,2
778.5,779.63,2
828.72,830.01,2
840.49,841.74,2
847.46,849.49,2
868.38,869.06,2
871.29,873.04,2
886.34,887.46,2
902.03,903.42,2
905.58,906.18,2
961.18,962.34,2
966.08,967.16,2
969.56,970.52,2
994.99,995.68,2
998.56,1000.35,2
1100.98,1101.76,2
1105.06,1105.66,2
1202.78,1203.38,2
1263.56,1264.16,2
1270.54,1271.36,2
1272.33,1273.84,2
1274.64,1275.97,2
1277.9,1279.17,2
1356.0,1356.76,2
1453.35,1454.32,2
1481.95,1483.19,2
1490.09,1490.83,2
1735.7,1736.31,2
1743.21,1743.82,2
1748.47,1749.78,2
1772.57,1773.28,2
1801.94,1802.73,2
1822.47,1823.11,2
1868.66,1869.76,2
1884.34,1884.94,2
1888.98,1889.58,2
1891.28,1893.04,2
1922.78,1924.06,2
1928.84,1929.73,2
1955.66,1956.35,2
1957.15,1957.75,2
1964.88,1965.48,2
1979.91,1980.54,2
1982.01,1983.07,2
1988.11,1990.13,2
1992.73,1993.82,2
1997.08,1998.93,2
2024.77,2026.21,2
2030.2,2030.8,2
2033.52,2034.8,2
2078.01,2079.4,2
2082.68,2083.62,2
2084.42,2085.02,2
2089.77,2090.64,2
2109.03,2109.76,2
2119.91,2120.91,2
2127.76,2129.76,2
2139.03,2139.98,2
2146.76,2147.66,2
2154.07,2155.04,2
2176.49,2177.35,2
2178.16,2178.79,2
2178.79,2179.59,2
2179.59,2180.52,2
2183.1,2184.53,2
2185.5,2186.19,2
2191.17,2191.79,2
2202.18,2203.1,2
2226.6,2228.14,2
2232.7,2233.84,2
2237.38,2237.99,2
2240.01,2241.48,2
2241.48,2242.18,2
2246.23,2246.88,2
2267.51,2268.22,2
2272.69,2273.32,2
2302.25,2302.85,2
2341.53,2343.32,2
2398.1,2398.7,2
2406.69,2407.29,2
2419.38,2421.33,2
2425.34,2426.32,2
2428.99,2430.21,2
2439.76,2441.77,2
2444.12,2444.72,2
2445.53,2447.54,2
2449.35,2450.11,2
2455.01,2456.3,2
2457.85,2458.63,2
2479.19,2480.76,5
2601.67,2602.27,5
2638.58,2639.46,3
2680.56,2681.2,2
2682.08,2682.68,2
2685.96,2686.61,2
2688.79,2690.22,2
2693.44,2694.24,2
2697.15,2697.75,2
2720.6,2721.34,2
2735.37,2736.51,2
2751.88,2752.71,2
2754.75,2755.54,2
2810.87,2811.61,2
2821.26,2821.9,2
2823.82,2825.15,2
2825.15,2826.25,2
2856.07,2856.85,2
2858.11,2858.71,2
2858.71,2859.73,2
3072.94,3073.6,2
3222.73,3223.58,2
3224.38,3224.98,2
3234.19,3234.83,2
3238.5,3239.52,2
3274.76,3275.36,2
3307.58,3308.18,2
3318.89,3319.79,2
3320.85,3321.46,2
3332.87,3333.47,2
3345.28,3345.88,2
3414.28,3414.88,2
3419.61,3420.21,2
3424.56,3425.16,2
3437.72,3438.33,2
3449.05,3451.24,2
3453.1,3453.7,2
3454.65,3455.25,2
3461.63,3462.26,2
3463.06,3463.72,2
3664.22,3665.01,2
3667.42,3668.24,2
3677.5,3678.36,2
3865.5,3866.1,3
4671.27,4671.87,2
4693.55,4694.16,2
4706.86,4707.46,1
4942.31,4942.91,1
4976.52,4977.12,2
10408.59,10409.19,1
10998.23,10998.89,1
10999.69,11000.68,2
11004.06,11005.49,2
11009.48,11011.85,2
11020.86,11022.17,2
11024.38,11025.08,2
11026.16,11028.55,2
11031.38,11032.69,2
11035.19,11037.32,2
11198.27,11198.87,2
11559.4,11560.0,2
11608.06,11608.84,3
11608.84,11609.64,2
11609.64,11610.27,2
11611.14,11611.94,2
11611.94,11612.75,2
11624.79,11625.39,2
11836.39,11837.51,2
11838.36,11838.96,2
11880.63,11882.48,2
12063.87,12065.05,2
12065.05,12065.65,2
12070.71,12071.33,2
12125.32,12126.0,2
12126.9,12127.56,2
12142.64,12145.84,2
12159.57,12160.31,2
12198.05,12198.92,2
12201.63,12202.64,2
12202.64,12203.45,2
12204.92,12205.75,2
12218.53,12219.66,2
12226.99,12227.75,2
12238.31,12240.44,2
12297.96,12298.56,2
12310.4,12311.86,2
12324.09,12325.74,2
12327.04,12327.64,2
12331.37,12334.81,2
12341.67,12346.21,2
12349.12,12350.11,2
12350.11,12350.92,2
12361.06,12361.98,2
12467.44,12468.29,2
12491.96,12494.0,2
12494.87,12495.47,2
12513.09,12513.69,2
12539.44,12540.04,2
12542.63,12543.23,2
12552.24,12553.43,2
12559.07,12559.67,2
12561.58,12562.5,2
12564.62,12565.22,2
12566.02,12567.12,2
12569.83,12570.61,2
12571.41,12572.01,2
12573.16,12573.76,2
12574.79,12575.94,2
12577.72,12578.32,2
12579.9,12581.0,2
12581.9,12583.02,2
12585.04,12586.37,2
12588.93,12590.22,2
12591.03,12592.11,2
12596.34,12597.01,2
12601.37,12602.08,2
12603.01,12603.61,2
12605.35,12607.38,2
12652.38,12652.98,2
12882.61,12883.21,2
12886.26,12887.98,2
12939.4,12940.93,2
12974.37,12974.97,2
12987.83,12989.35,2
12994.75,12995.35,2
13157.93,13158.7,2
13172.21,13173.3,2
13176.52,13178.37,2
13181.37,13182.0,2
13183.9,13185.51,2
13187.54,13188.69,2
13229.58,13231.16,2
13235.78,13236.88,2
13244.95,13245.96,2
13247.28,13248.26,2
13251.13,13252.63,2
13254.74,13256.67,2
13266.03,13266.63,2
13268.42,13269.02,2
13269.86,13271.75,2
13272.79,13274.23,2
13279.17,13280.56,2
13283.57,13284.56,2
13287.12,13288.76,2
13386.46,13387.06,2
13422.27,13422.87,2
13489.1,13489.7,2
13490.5,13491.1,2
13502.31,13502.91,2
13512.03,13513.02,2
13526.06,13526.66,2
13530.39,13531.32,2
13535.27,13536.15,2
13537.84,13539.65,2
13541.27,13541.87,2
13544.47,13546.11,2
13548.4,13551.32,2
13552.59,13553.48,2
13554.97,13555.71,2
13556.51,13557.71,2
13558.55,13560.13,2
13562.13,13563.57,2
13564.61,13566.11,2
13567.4,13571.25,2
13572.28,13575.27,2
13577.07,13579.0,2
13581.06,13582.33,2
13590.64,13591.72,2
13596.55,13597.25,2
13609.67,13610.59,2
13615.62,13616.32,2
13618.03,13618.64,2
13625.37,13625.97,2
13631.15,13631.89,2
13632.7,13633.3,2
13636.62,13637.22,2
13638.02,13638.62,2
13639.5,13640.89,2
13641.99,13648.38,2
13649.79,13651.76,2
13652.74,13657.18,2
13658.82,13660.26,2
13662.12,13663.67,2
13666.27,13667.58,2
13669.51,13671.64,2
13672.44,13675.13,2
13675.96,13677.48,2
13679.16,13681.06,2
13682.07,13685.36,2
13686.67,13687.61,2
13690.14,13691.74,2
13693.33,13695.05,2
13696.55,13699.48,2
13701.19,13701.81,2
13702.67,13705.32,2
13710.36,13711.26,2
13713.97,13715.09,2
13716.09,13718.27,2
13720.47,13722.64,2
13724.41,13727.68,2
13728.48,13732.91,2
13733.8,13735.05,2
13735.91,13737.41,2
13738.21,13751.27,2
13752.12,13758.93,1
13759.73,13765.28,2
13766.08,13767.19,2
13767.99,13768.59,2
13772.1,13773.79,2
13773.79,13774.59,2
13774.59,13775.89,2
13777.2,13779.21,2
13780.3,13784.27,2
13785.25,13789.7,2
13791.36,13793.07,2
13795.15,13795.99,2
13796.8,13797.73,1
13798.79,13799.52,2
13800.32,13807.46,2
13808.48,13810.72,2
13812.09,13815.68,2
13816.8,13821.91,2
13823.73,13824.36,2
13850.74,13851.43,2
13853.88,13854.48,2
13855.41,13856.49,2
13856.49,13857.59,2
13857.59,13860.79,2
13861.76,13865.43,2
13866.74,13870.18,2
13870.98,13871.75,2
13872.55,13874.18,2
13876.63,13880.15,2
13881.13,13882.14,2
13882.97,13885.71,2
13886.51,13888.73,2
13890.34,13901.99,2
13903.1,13905.34,2
13906.14,13908.86,2
13909.72,13913.38,2
13914.18,13914.78,2
13915.58,13916.18,2
13926.02,13927.51,2
13928.51,13932.53,2
13934.07,13936.15,2
13936.99,13939.57,2
13940.56,13942.6,2
13943.82,13951.29,2
13952.19,13958.7,2
13959.54,13960.14,2
13960.94,13972.31,2
13973.46,13976.81,2
13978.14,13979.9,2
13980.98,13986.61,2
13987.62,13989.11,1
13990.73,13991.47,2
13992.45,14001.12,2
14001.12,14001.92,2
14003.21,14003.81,2
14005.13,14008.84,2
14012.38,14015.23,2
14016.03,14016.63,2
14017.78,14019.93,2
14021.01,14023.02,2
14023.82,14029.34,2
14030.14,14031.27,2
14032.51,14035.34,2
14035.34,14036.62,2
14036.62,14037.22,2
14038.82,14040.53,2
14041.4,14042.91,2
14043.8,14050.76,2
14051.56,14055.33,2
14056.4,14057.37,2
14058.18,14064.8,2
14067.41,14068.2,2
14075.21,14075.88,2
14080.46,14081.17,2
14082.02,14083.26,2
14087.52,14088.86,2
14090.51,14092.2,2
14093.0,14094.82,2
14098.32,14099.06,2
14099.86,14102.55,2
14103.55,14105.36,2
18245.26,18247.24,2
18291.42,18292.02,2
18294.04,18294.64,2
18304.01,18305.2,2
