startSeconds,endSeconds,targetChildProminence
42.32,42.92,2
46.36,47.02,2
2161.67,2162.48,3
7309.84,7310.49,4
7320.24,7320.89,3
7353.09,7354.05,3
7376.07,7378.26,2
7423.08,7423.68,3
7453.78,7454.47,2
7565.91,7566.52,3
7712.34,7712.94,3
7722.25,7724.42,3
8221.01,8221.79,5
8268.67,8272.25,4
8273.13,8275.63,3
8303.57,8304.65,3
8306.89,8307.49,4
8315.98,8316.84,3
8320.08,8320.68,3
8341.09,8341.69,4
8388.52,8389.13,2
8392.2,8392.8,3
8401.04,8401.64,3
8402.96,8403.56,3
8425.68,8427.05,5
8428.61,8429.38,5
8492.33,8493.46,5
8616.27,8616.88,5
8632.78,8633.73,4
8646.87,8647.47,4
8651.17,8652.97,4
8654.85,8656.64,3
8713.61,8714.34,5
8714.34,8715.35,4
8715.35,8717.11,4
8803.54,8806.65,5
8826.34,8828.2,5
8947.49,8948.37,5
9446.7,9447.82,4
9454.07,9457.79,3
9488.56,9489.16,3
9501.21,9502.08,2
9516.18,9517.89,3
9519.71,9522.22,3
9543.85,9544.52,3
9573.88,9574.48,3
9611.46,9612.19,3
9623.58,9624.4,3
9626.05,9626.65,3
9642.76,9643.8,3
9648.04,9649.75,3
9653.39,9654.48,3
9657.7,9658.88,3
9663.28,9664.07,2
9664.87,9668.14,2
9669.27,9669.87,2
9671.55,9672.66,2
9674.46,9675.18,2
9677.57,9678.69,4
9685.14,9685.75,3
9694.36,9695.86,3
9776.67,9777.65,3
9782.66,9783.84,3
9785.47,9786.18,3
9786.18,9787.29,3
9787.29,9787.91,3
9806.65,9807.62,3
9807.62,9808.75,3
9808.75,9809.35,3
9818.6,9819.83,3
9947.57,9948.17,3
9950.94,9951.6,5
9965.6,9966.2,5
9968.16,9968.76,5
9969.69,9970.35,5
9971.15,9973.14,5
9973.98,9974.6,5
10027.06,10027.7,5
10113.27,10114.88,3
10123.23,10124.07,5
10479.11,10480.29,3
10489.57,10490.84,3
10491.64,10492.6,3
10495.43,10496.29,3
10501.94,10502.75,3
10503.55,10505.66,3
10510.43,10513.15,3
10542.88,10544.13,3
10544.93,10545.53,3
10546.33,10546.93,3
10570.35,10571.03,3
10571.83,10572.43,3
10575.03,10575.89,3
10576.69,10577.29,3
10578.12,10578.73,3
10593.75,10594.89,3
10596.06,10596.71,3
10597.51,10599.9,3
10601.16,10603.29,3
10604.09,10604.69,3
10610.28,10614.82,3
10615.62,10617.03,3
10618.09,10618.7,3
10623.56,10628.71,3
10630.33,10631.29,3
10666.29,10667.03,3
10667.03,10667.83,3
10667.83,10668.43,3
10670.53,10674.11,3
10677.9,10679.24,3
10728.43,10729.37,4
10734.58,10735.18,3
10807.91,10808.51,3
10812.42,10813.56,3
10815.23,10815.83,3
10821.63,10823.23,3
10854.55,10855.18,3
10856.28,10856.91,3
10877.99,10878.62,3
10879.42,10881.28,3
10886.27,10886.87,5
10887.71,10889.46,5
