startSeconds,endSeconds,targetChildProminence
3166.93,3167.53,5
3168.93,3169.53,1
3178.95,3180.29,1
3182.37,3182.97,1
3185.47,3186.07,1
3278.71,3279.31,1
3285.07,3285.99,1
3289.11,3289.76,1
3291.59,3292.94,1
3294.68,3295.52,1
3302.82,3303.69,1
3382.88,3383.48,5
3526.29,3526.94,1
3607.29,3607.92,1
3649.03,3649.63,1
3650.9,3652.3,4
3653.27,3654.49,5
3654.49,3655.51,5
3662.01,3662.87,5
3662.87,3664.64,5
3665.44,3666.06,5
3667.42,3668.33,5
3668.33,3669.43,4
3674.82,3676.3,5
3721.66,3722.27,3
3735.46,3736.11,5
3738.82,3739.48,5
3747.43,3748.25,1
3750.57,3751.24,5
3753.2,3754.22,5
3754.22,3754.9,5
3756.77,3757.58,1
3757.58,3758.68,1
3758.68,3759.78,3
3768.28,3769.06,5
3769.06,3770.25,5
3808.71,3809.33,2
3812.38,3813.1,5
3813.1,3816.84,5
3816.84,3817.53,2
3818.56,3819.16,5
3821.29,3825.61,5
3825.61,3827.41,3
3831.75,3832.46,3
3862.3,3863.26,3
3864.41,3865.58,1
3867.77,3868.37,1
3916.61,3917.4,3
3919.56,3920.21,5
3921.46,3922.37,1
3926.87,3928.22,1
3944.92,3945.63,2
3952.16,3953.16,2
4012.92,4013.57,1
4015.4,4016.17,1
4022.07,4022.68,1
4106.85,4107.98,1
4123.04,4123.85,5
4125.15,4126.09,5
4164.66,4165.66,5
4165.66,4166.28,1
4173.21,4173.81,5
4224.19,4225.53,1
4247.16,4248.43,5
4249.49,4250.78,5
4341.06,4341.76,1
4347.94,4348.58,1
4357.98,4358.94,1
4360.47,4361.09,1
4452.94,4453.97,1
4460.88,4461.86,1
4477.29,4478.03,1
4479.69,4480.58,1
4563.31,4563.97,1
4570.49,4571.09,1
4572.32,4573.58,2
4576.28,4577.29,1
4581.53,4582.13,1
4589.63,4590.75,1
4624.93,4625.89,1
4626.7,4627.98,1
4656.76,4657.4,2
4659.04,4659.66,1
4668.95,4670.17,1
4670.17,4670.97,1
4672.97,4673.97,1
4678.74,4679.56,1
4680.57,4681.31,1
4685.28,4687.15,1
4731.33,4731.93,1
4747.51,4748.11,1
4801.81,4804.35,1
4810.81,4811.41,1
4813.72,4815.34,2
4816.33,4817.11,1
4817.99,4818.7,1
4820.58,4821.35,1
4822.8,4823.61,1
4829.95,4830.78,1
4851.96,4852.88,1
4853.99,4854.63,1
4857.49,4858.35,1
4859.15,4860.34,1
4866.31,4866.94,1
4868.54,4869.14,1
4873.63,4874.23,1
4877.64,4878.24,1
4891.25,4892.03,1
4896.4,4897.48,1
4900.18,4900.78,1
4901.78,4903.09,2
4904.74,4906.0,1
4917.16,4918.19,1
4954.78,4955.91,1
4963.37,4963.97,1
4965.29,4965.9,1
4978.84,4979.44,1
4980.36,4981.15,1
4987.73,4988.35,1
4990.45,4991.59,1
4993.9,4994.7,1
4998.42,5000.31,1
5003.73,5004.44,1
5005.25,5006.26,1
5027.44,5028.08,1
5032.22,5032.85,1
5039.57,5041.29,1
5044.59,5045.48,1
5046.59,5047.66,1
5048.66,5051.25,1
5053.06,5054.03,1
5064.97,5066.1,2
5068.65,5071.06,1
5072.11,5073.3,1
5076.69,5077.51,1
5091.47,5092.08,1
5094.61,5095.21,1
5103.99,5105.25,1
5108.0,5108.81,1
5109.81,5110.63,1
5111.47,5113.07,1
5115.47,5116.07,1
5117.63,5118.42,1
5120.69,5121.29,1
5146.7,5147.3,1
5148.1,5148.7,1
5149.71,5150.35,1
5151.35,5152.32,1
5155.46,5156.06,1
5164.92,5165.56,1
5166.4,5167.55,1
5176.04,5177.38,1
5184.12,5185.54,1
5185.54,5186.68,1
5200.01,5200.96,1
5203.17,5204.59,1
5214.21,5215.61,1
5219.48,5221.91,1
5223.85,5224.45,1
