startSeconds,endSeconds,targetChildProminence
55.03,56.05,1
61.32,61.93,1
62.73,63.33,1
66.31,66.92,1
68.02,72.32,1
73.26,81.1,2
81.1,82.11,1
82.11,87.77,1
89.0,90.3,1
91.32,92.19,2
92.99,93.67,2
98.88,103.48,2
104.35,106.56,1
107.36,109.23,1
109.23,110.23,1
110.23,112.0,2
113.08,134.12,2
136.36,149.37,1
150.17,165.97,1
167.2,167.95,2
168.75,179.72,2
181.25,184.0,3
191.12,192.83,2
199.83,201.1,2
203.54,204.14,1
206.69,207.47,1
208.8,209.59,2
210.49,211.09,1
220.16,221.9,1
224.96,225.98,2
229.03,230.48,1
233.93,234.55,1
235.35,236.53,3
236.53,237.24,2
300.32,301.66,1
303.01,303.94,2
328.72,329.5,2
329.5,330.31,1
330.31,331.31,2
332.11,332.72,1
3306.85,3307.45,1
3310.89,3311.49,2
3315.31,3319.12,2
3323.34,3323.94,1
3325.2,3327.08,1
3327.88,3329.51,1
3330.31,3331.52,1
3332.71,3334.8,1
3335.88,3336.48,1
3337.38,3338.44,2
