startSeconds,endSeconds,targetChildProminence
55.03,56.05,1
61.32,61.93,1
62.73,63.33,1
66.31,66.92,1
68.02,72.32,1
73.26,81.1,1
81.1,82.11,1
82.11,87.77,1
89.0,90.3,1
91.32,92.19,1
92.99,93.67,1
98.88,103.48,1
104.35,106.56,1
107.36,109.23,1
109.23,110.23,2
110.23,112.0,3
113.08,134.12,1
136.36,149.37,1
150.17,165.97,1
167.2,167.95,2
168.75,179.72,2
181.25,184.0,3
191.12,192.83,3
199.83,201.1,3
203.54,204.14,3
206.69,207.47,3
208.8,209.59,3
210.49,211.09,3
220.16,221.9,3
224.96,225.98,3
229.03,230.48,3
233.93,234.55,3
235.35,236.53,3
236.53,237.24,3
300.32,301.66,3
303.01,303.94,3
328.72,329.5,3
329.5,330.31,3
330.31,331.31,3
332.11,332.72,3
3306.85,3307.45,3
3310.89,3311.49,3
3315.31,3319.12,3
3323.34,3323.94,3
3325.2,3327.08,3
3327.88,3329.51,3
3330.31,3331.52,3
3332.71,3334.8,3
3335.88,3336.48,3
3337.38,3338.44,3
3339.32,3341.32,3
3342.12,3345.41,3
3346.25,3347.52,1
3348.37,3348.97,1
3348.97,3350.0,3
3350.0,3354.26,1
3354.26,3355.49,3
3356.86,3357.52,1
3358.32,3365.5,1
3366.3,3366.9,1
3368.36,3372.01,1
3377.25,3377.88,1
3378.86,3384.12,1
3385.01,3388.88,1
3389.91,3391.55,1
3391.55,3392.35,1
3392.35,3394.91,2
3395.72,3396.34,2
3397.14,3399.6,1
3400.4,3401.32,2
3402.21,3403.29,3
3403.29,3404.09,1
3404.09,3407.93,1
3408.73,3409.39,3
3410.31,3411.55,3
3412.88,3413.83,3
3415.12,3416.2,3
3417.34,3418.2,3
3419.02,3422.79,3
3423.63,3425.3,3
3425.3,3426.73,3
3582.17,3583.04,3
3587.38,3588.94,3
3594.43,3595.1,4
3596.06,3596.67,4
3598.51,3599.94,1
3600.94,3601.99,1
3601.99,3603.01,1
3603.01,3604.37,1
4016.64,4018.06,3
4025.27,4026.28,1
4027.87,4028.49,3
4029.34,4030.01,3
4030.88,4031.48,3
4089.73,4090.79,5
4092.34,4094.46,1
4094.46,4095.46,3
4097.0,4098.44,3
4099.38,4100.45,3
4108.96,4109.97,3
4109.97,4110.73,1
4111.75,4112.94,1
4114.23,4115.65,1
4117.04,4120.48,1
4122.07,4123.43,2
4124.58,4125.23,3
4146.28,4148.25,3
4149.13,4150.19,3
4152.72,4155.18,3
4155.18,4155.98,3
4155.98,4168.68,3
4169.48,4171.43,1
4172.32,4178.25,3
4179.05,4186.22,1
4186.22,4187.3,4
4189.15,4190.94,2
4577.48,4578.58,5
4663.69,4664.3,5
5332.16,5332.76,5
5566.14,5566.81,5
5568.63,5569.28,5
5951.88,5952.51,4
6061.05,6061.71,1
6117.21,6117.82,1
6172.16,6172.99,5
6175.44,6176.22,5
6185.0,6185.82,4
6206.36,6207.3,2
6399.39,6399.99,5
6426.27,6426.88,1
