startSeconds,endSeconds,isTargetChild
55.03,56.05,False
61.32,61.93,False
62.73,63.33,False
66.31,66.92,False
68.02,72.32,False
73.26,81.1,False
81.1,82.11,False
82.11,87.77,False
89.0,90.3,False
91.32,92.19,True
92.99,93.67,False
98.88,103.48,False
104.35,106.56,False
107.36,109.23,True
109.23,110.23,True
110.23,112.0,False
113.08,134.12,False
136.36,149.37,False
150.17,165.97,False
167.2,167.95,False
168.75,179.72,False
181.25,184.0,False
191.12,192.83,False
199.83,201.1,False
203.54,204.14,False
206.69,207.47,False
208.8,209.59,False
210.49,211.09,False
220.16,221.9,False
224.96,225.98,False
229.03,230.48,False
233.93,234.55,False
235.35,236.53,False
236.53,237.24,False
300.32,301.66,False
303.01,303.94,False
328.72,329.5,False
329.5,330.31,False
330.31,331.31,False
332.11,332.72,False
3306.85,3307.45,False
3310.89,3311.49,False
3315.31,3319.12,False
3323.34,3323.94,False
3325.2,3327.08,False
3327.88,3329.51,False
3330.31,3331.52,False
3332.71,3334.8,False
3335.88,3336.48,False
3337.38,3338.44,False
3339.32,3341.32,False
3342.12,3345.41,False
3346.25,3347.52,False
3348.37,3348.97,False
3348.97,3350.0,False
3350.0,3354.26,False
3354.26,3355.49,False
3356.86,3357.52,False
3358.32,3365.5,False
3366.3,3366.9,False
3368.36,3372.01,False
3377.25,3377.88,False
3378.86,3384.12,False
3385.01,3388.88,False
3389.91,3391.55,False
3391.55,3392.35,False
3392.35,3394.91,False
3395.72,3396.34,False
3397.14,3399.6,False
3400.4,3401.32,False
3402.21,3403.29,False
3403.29,3404.09,False
3404.09,3407.93,False
3408.73,3409.39,False
3410.31,3411.55,False
3412.88,3413.83,False
3415.12,3416.2,False
3417.34,3418.2,False
3419.02,3422.79,False
3423.63,3425.3,False
3425.3,3426.73,False
3582.17,3583.04,False
3587.38,3588.94,False
3594.43,3595.1,False
3596.06,3596.67,False
3598.51,3599.94,False
3600.94,3601.99,False
3601.99,3603.01,False
3603.01,3604.37,False
4016.64,4018.06,False
4025.27,4026.28,False
4027.87,4028.49,False
4029.34,4030.01,False
4030.88,4031.48,False
4089.73,4090.79,False
4092.34,4094.46,False
4094.46,4095.46,False
4097.0,4098.44,False
4099.38,4100.45,False
4108.96,4109.97,False
4109.97,4110.73,False
4111.75,4112.94,False
4114.23,4115.65,False
4117.04,4120.48,False
4122.07,4123.43,False
4124.58,4125.23,False
4146.28,4148.25,False
4149.13,4150.19,False
4152.72,4155.18,False
4155.18,4155.98,False
4155.98,4168.68,False
4169.48,4171.43,False
4172.32,4178.25,False
4179.05,4186.22,False
4186.22,4187.3,False
4189.15,4190.94,False
4577.48,4578.58,False
4663.69,4664.3,False
5332.16,5332.76,False
5566.14,5566.81,False
5568.63,5569.28,False
5951.88,5952.51,False
6061.05,6061.71,False
6117.21,6117.82,False
6172.16,6172.99,False
6175.44,6176.22,False
6185.0,6185.82,False
6206.36,6207.3,False
6399.39,6399.99,False
6426.27,6426.88,True
6464.67,6465.48,False
6492.68,6493.28,False
6499.84,6500.45,False
6554.3,6554.94,False
6602.78,6603.43,False
6671.07,6672.07,False
6680.12,6680.72,False
6725.84,6726.99,False
6857.99,6858.63,False
6861.53,6862.13,False
7010.52,7011.12,False
7575.69,7576.68,False
7875.41,7876.21,False
7876.21,7878.8,False
7880.09,7880.72,False
8049.0,8049.6,False
8294.98,8295.78,False
9168.07,9168.67,True
9273.53,9274.13,True
9288.99,9289.59,True
9291.97,9292.57,True
9302.85,9303.45,False
9317.65,9318.27,True
9334.27,9334.87,True
9337.64,9338.24,False
9343.36,9344.11,False
9345.33,9345.93,False
9348.37,9349.53,True
9351.62,9352.24,False
9354.42,9355.43,False
9356.26,9357.03,False
9357.84,9358.44,False
9382.01,9382.61,False
9409.61,9410.21,False
9412.56,9413.19,False
9439.02,9440.03,False
9457.95,9458.55,False
9464.6,9465.22,False
9475.03,9475.63,False
9477.85,9478.45,False
9501.56,9502.18,False
9506.25,9507.32,False
9512.81,9513.47,False
9517.96,9519.03,False
9526.1,9527.1,False
9530.85,9533.16,False
9537.53,9538.13,False
9538.13,9539.3,False
9541.96,9542.67,False
9545.82,9546.47,False
9549.21,9549.91,False
9551.0,9552.0,False
9552.0,9552.69,False
9581.81,9583.22,False
9583.22,9584.01,False
9585.03,9585.71,False
9586.68,9587.74,False
9591.05,9591.66,False
9592.46,9593.06,False
9649.65,9651.84,False
9660.28,9661.57,False
9673.3,9674.1,False
9691.88,9692.87,False
9694.36,9695.56,False
9696.7,9697.5,False
9759.1,9759.82,False
9761.72,9763.14,False
9771.38,9772.38,False
9782.91,9783.53,False
9785.27,9785.87,False
9793.1,9793.7,False
9794.55,9795.43,False
9798.72,9799.4,False
9799.4,9800.4,False
9801.66,9802.26,False
9803.06,9810.56,False
9811.41,9812.42,False
9813.27,9814.27,False
9815.43,9816.7,False
9816.7,9818.62,False
9819.97,9820.72,False
9837.62,9839.39,False
9839.39,9840.51,False
9849.34,9850.56,False
9850.56,9851.19,False
9857.14,9857.74,False
9879.08,9879.86,False
9880.66,9881.5,False
9883.36,9883.96,False
9890.06,9891.7,False
9892.5,9893.1,False
9893.9,9894.79,False
9894.79,9895.93,False
9896.85,9897.95,False
9898.76,9899.36,False
9901.14,9901.74,False
9903.25,9903.93,False
9905.51,9906.11,False
9907.5,9908.1,False
9912.29,9913.86,False
9915.63,9919.1,False
9928.21,9928.95,False
9928.95,9930.4,False
9930.4,9931.12,False
9932.93,9933.58,False
9939.63,9940.23,False
9940.23,9941.25,False
9941.25,9941.87,False
9941.87,9942.88,False
9942.88,9944.06,False
9947.03,9947.63,False
9950.53,9952.15,False
9952.95,9954.04,False
9954.84,9956.14,False
9957.19,9959.18,False
9984.57,9985.57,False
9997.34,9997.94,False
10009.89,10010.87,False
10014.27,10014.89,False
10014.89,10016.31,False
10017.16,10018.61,False
10018.61,10019.34,False
10021.19,10022.59,False
10023.51,10024.83,False
10035.33,10036.43,False
10037.91,10038.87,False
10091.89,10092.89,False
10092.89,10093.76,False
10095.05,10095.82,False
10098.81,10099.42,False
10115.27,10116.13,False
10116.93,10117.53,False
10117.53,10118.8,False
10134.47,10135.48,False
10137.42,10138.02,False
10139.58,10140.18,False
10140.99,10142.04,False
10143.76,10146.2,False
10147.0,10147.61,False
10152.12,10152.88,False
10153.68,10154.33,True
10159.45,10160.06,False
10161.85,10162.98,False
10170.06,10170.77,True
10174.05,10174.68,True
10177.15,10178.1,False
10180.3,10180.91,False
10184.24,10185.01,False
10186.34,10186.94,False
10187.74,10188.54,False
10189.88,10190.74,False
10191.79,10193.28,False
10194.09,10194.72,False
10195.52,10197.56,False
10198.36,10200.15,False
10202.24,10202.85,False
10210.26,10210.97,False
10211.78,10212.43,False
10218.15,10218.75,False
10224.63,10225.26,False
10226.68,10227.28,False
10228.23,10229.52,False
10232.95,10233.8,False
10235.07,10235.68,False
10236.6,10237.52,False
10238.59,10239.19,False
10240.03,10241.77,False
10244.63,10245.23,False
10252.25,10253.05,False
10254.64,10256.39,False
10258.54,10260.26,False
10265.55,10266.56,False
10277.47,10278.07,False
10285.45,10286.16,False
10295.01,10295.69,False
10304.44,10305.04,False
10308.98,10309.7,False
10320.82,10321.44,False
10329.36,10330.46,False
10341.52,10342.12,False
10345.54,10346.14,False
10361.0,10361.8,False
10367.26,10368.28,False
10370.89,10371.49,False
10376.62,10377.27,False
10381.0,10381.8,False
10383.06,10384.04,False
10385.31,10386.25,False
10387.27,10388.06,False
10388.86,10392.3,False
10393.1,10394.11,False
10394.91,10395.51,False
10396.54,10397.14,False
10398.25,10399.6,False
10400.63,10401.92,False
10403.25,10405.33,False
10406.21,10407.13,False
10408.18,10408.86,False
10411.96,10412.58,False
10421.98,10422.58,False
10423.55,10424.18,False
10425.28,10427.38,False
10430.91,10431.55,False
10437.47,10438.11,False
10444.62,10446.02,False
10859.8,10860.58,False
12207.38,12208.06,False
12226.67,12227.61,False
12233.52,12234.12,False
12236.18,12237.91,False
12239.42,12240.05,False
12240.05,12241.05,False
12245.11,12245.8,False
12551.85,12552.87,False
12803.06,12804.29,False
12804.29,12805.29,False
